month,bidding_no,vehicle_class,premium
2010-01,3,Category A,18502
2010-01,3,Category B,19190
2010-01,4,Category A,20501
2010-01,4,Category B,22400
2010-02,3,Category A,19989
2010-02,3,Category B,23180
2010-02,4,Category A,20340
2010-02,4,Category B,23889
2010-03,3,Category A,20802
2010-03,3,Category B,26389
2010-03,4,Category A,28389
2010-03,4,Category B,36089
2010-04,3,Category A,34001
2010-04,3,Category B,45501
2010-04,4,Category A,30000
2010-04,4,Category B,40001
2010-05,3,Category A,26102
2010-05,3,Category B,38000
2010-05,4,Category A,27389
2010-05,4,Category B,34600
2010-06,3,Category A,29501
2010-06,3,Category B,35909
2010-06,4,Category A,31510
2010-06,4,Category B,39911
2010-07,3,Category A,29501
2010-07,3,Category B,35909
2010-07,4,Category A,36162
2010-07,4,Category B,42889
2010-08,3,Category A,32104
2010-08,3,Category B,43334
2010-08,4,Category A,29000
2010-08,4,Category B,42810
2010-09,3,Category A,33089
2010-09,3,Category B,44129
2010-09,4,Category A,30001
2010-09,4,Category B,42501
2010-10,3,Category A,33132
2010-10,3,Category B,42801
2010-10,4,Category A,32415
2010-10,4,Category B,44600
2010-11,3,Category A,34001
2010-11,3,Category B,45501
2010-11,4,Category A,39000
2010-11,4,Category B,47890
2010-12,3,Category A,47604
2010-12,3,Category B,62502
2010-12,4,Category A,46129
2010-12,4,Category B,72001
2011-01,3,Category A,38889
2011-01,3,Category B,69000
2011-01,4,Category A,40123
2011-01,4,Category B,58910
2011-02,3,Category A,37124
2011-02,3,Category B,53400
2011-02,4,Category A,42999
2011-02,4,Category B,62000
2011-03,3,Category A,42600
2011-03,3,Category B,61894
2011-03,4,Category A,43813
2011-03,4,Category B,57002
2011-04,3,Category A,43212
2011-04,3,Category B,55001
2011-04,4,Category A,44000
2011-04,4,Category B,56801
2011-05,3,Category A,44790
2011-05,3,Category B,56011
2011-05,4,Category A,46989
2011-05,4,Category B,56300
2011-06,3,Category A,53390
2011-06,3,Category B,63000
2011-06,4,Category A,50244
2011-06,4,Category B,67700
2011-07,3,Category A,55989
2011-07,3,Category B,68501
2011-07,4,Category A,56002
2011-07,4,Category B,72501
2011-08,3,Category A,48801
2011-08,3,Category B,70890
2011-08,4,Category A,49301
2011-08,4,Category B,65521
2011-09,3,Category A,51000
2011-09,3,Category B,63002
2011-09,4,Category A,48006
2011-09,4,Category B,64889
2011-10,3,Category A,50289
2011-10,3,Category B,63600
2011-10,4,Category A,56112
2011-10,4,Category B,75889
2011-11,3,Category A,55997
2011-11,3,Category B,77000
2011-11,4,Category A,54887
2011-11,4,Category B,77340
2011-12,3,Category A,52392
2011-12,3,Category B,72350
2011-12,4,Category A,50001
2011-12,4,Category B,70003
2012-01,3,Category A,46889
2012-01,3,Category B,65801
2012-01,4,Category A,48112
2012-01,4,Category B,67889
2012-02,3,Category A,52809
2012-02,3,Category B,73890
2012-02,4,Category A,57009
2012-02,4,Category B,78189
2012-03,3,Category A,56551
2012-03,3,Category B,79304
2012-03,4,Category A,56501
2012-03,4,Category B,82003
2012-04,3,Category A,58501
2012-04,3,Category B,83700
2012-04,4,Category A,64201
2012-04,4,Category B,91000
2012-05,3,Category A,62600
2012-05,3,Category B,92050
2012-05,4,Category A,58001
2012-05,4,Category B,85216
2012-06,3,Category A,59003
2012-06,3,Category B,83000
2012-06,4,Category A,59004
2012-06,4,Category B,85400
2012-07,3,Category A,59421
2012-07,3,Category B,82289
2012-07,4,Category A,68656
2012-07,4,Category B,90501
2012-08,3,Category A,73501
2012-08,3,Category B,94502
2012-08,4,Category A,66889
2012-08,4,Category B,88002
2012-09,3,Category A,68000
2012-09,3,Category B,80191
2012-09,4,Category A,63000
2012-09,4,Category B,88500
2012-10,3,Category A,69000
2012-10,3,Category B,80001
2012-10,4,Category A,71001
2012-10,4,Category B,85801
2012-11,3,Category A,77201
2012-11,3,Category B,92400
2012-11,4,Category A,77291
2012-11,4,Category B,93004
2012-12,3,Category A,78523
2012-12,3,Category B,90200
2012-12,4,Category A,81889
2012-12,4,Category B,93501
2013-01,3,Category A,92100
2013-01,3,Category B,96210
2013-01,4,Category A,91010
2013-01,4,Category B,95501
2013-02,3,Category A,87109
2013-02,3,Category B,92901
2013-02,4,Category A,78301
2013-02,4,Category B,92667
2013-03,3,Category A,74689
2013-03,3,Category B,58090
2013-03,4,Category A,64209
2013-03,4,Category B,73900
2013-04,3,Category A,61029
2013-04,3,Category B,67010
2013-04,4,Category A,62497
2013-04,4,Category B,62000
2013-05,3,Category A,62999
2013-05,3,Category B,61700
2013-05,4,Category A,64839
2013-05,4,Category B,67304
2013-06,3,Category A,67301
2013-06,3,Category B,75000
2013-06,4,Category A,69903
2013-06,4,Category B,81751
2013-07,3,Category A,73100
2013-07,3,Category B,77110
2013-07,4,Category A,73989
2013-07,4,Category B,76389
2013-08,3,Category A,75556
2013-08,3,Category B,77600
2013-08,4,Category A,76223
2013-08,4,Category B,76607
2013-09,3,Category A,77304
2013-09,3,Category B,77100
2013-09,4,Category A,83751
2013-09,4,Category B,86239
2013-10,3,Category A,85000
2013-10,3,Category B,93500
2013-10,4,Category A,76889
2013-10,4,Category B,87910
2013-11,3,Category A,72609
2013-11,3,Category B,84578
2013-11,4,Category A,74991
2013-11,4,Category B,79300
2013-12,3,Category A,73160
2013-12,3,Category B,73010
2013-12,4,Category A,74002
2013-12,4,Category B,75700
2014-01,3,Category A,72369
2014-01,3,Category B,78700
2014-01,4,Category A,72290
2014-01,4,Category B,79000
2014-02,3,Category A,71564
2014-02,3,Category B,75300
2014-02,4,Category A,77201
2014-02,4,Category B,78604
2014-03,3,Category A,76999
2014-03,3,Category B,80710
2014-03,4,Category A,78602
2014-03,4,Category B,82900
2014-04,3,Category A,77400
2014-04,3,Category B,84504
2014-04,4,Category A,71335
2014-04,4,Category B,75010
2014-05,3,Category A,60002
2014-05,3,Category B,70002
2014-05,4,Category A,65689
2014-05,4,Category B,68103
2014-06,3,Category A,63190
2014-06,3,Category B,67304
2014-06,4,Category A,61899
2014-06,4,Category B,65700
2014-07,3,Category A,61990
2014-07,3,Category B,64889
2014-07,4,Category A,62890
2014-07,4,Category B,65001
2014-08,3,Category A,64600
2014-08,3,Category B,68689
2014-08,4,Category A,65710
2014-08,4,Category B,72990
2014-09,3,Category A,64841
2014-09,3,Category B,73010
2014-09,4,Category A,62000
2014-09,4,Category B,71990
2014-10,3,Category A,63880
2014-10,3,Category B,72180
2014-10,4,Category A,63990
2014-10,4,Category B,72002
2014-11,3,Category A,64900
2014-11,3,Category B,70890
2014-11,4,Category A,67889
2014-11,4,Category B,72890
2014-12,3,Category A,67089
2014-12,3,Category B,74389
2014-12,4,Category A,65889
2014-12,4,Category B,74000
2015-01,3,Category A,66010
2015-01,3,Category B,75289
2015-01,4,Category A,65001
2015-01,4,Category B,76889
2015-02,3,Category A,62002
2015-02,3,Category B,70890
2015-02,4,Category A,57199
2015-02,4,Category B,66751
2015-03,3,Category A,61410
2015-03,3,Category B,68668
2015-03,4,Category A,64700
2015-03,4,Category B,71889
2015-04,3,Category A,67749
2015-04,3,Category B,76612
2015-04,4,Category A,67601
2015-04,4,Category B,78001
2015-05,3,Category A,68589
2015-05,3,Category B,77600
2015-05,4,Category A,66590
2015-05,4,Category B,75002
2015-06,3,Category A,66000
2015-06,3,Category B,75000
2015-06,4,Category A,61000
2015-06,4,Category B,71509
2015-07,3,Category A,58700
2015-07,3,Category B,65501
2015-07,4,Category A,55889
2015-07,4,Category B,58109
2015-08,3,Category A,56209
2015-08,3,Category B,60789
2015-08,4,Category A,57498
2015-08,4,Category B,62140
2015-09,3,Category A,57089
2015-09,3,Category B,62101
2015-09,4,Category A,55399
2015-09,4,Category B,60001
2015-10,3,Category A,56001
2015-10,3,Category B,58190
2015-10,4,Category A,57301
2015-10,4,Category B,59889
2015-11,3,Category A,56001
2015-11,3,Category B,57501
2015-11,4,Category A,59200
2015-11,4,Category B,61103
2015-12,3,Category A,56989
2015-12,3,Category B,60001
2015-12,4,Category A,54301
2015-12,4,Category B,55001
2016-01,3,Category A,45002
2016-01,3,Category B,54920
2016-01,4,Category A,51301
2016-01,4,Category B,50089
2016-02,3,Category A,46651
2016-02,3,Category B,38610
2016-02,4,Category A,43000
2016-02,4,Category B,46970
2016-03,3,Category A,45000
2016-03,3,Category B,47604
2016-03,4,Category A,45504
2016-03,4,Category B,46502
2016-04,3,Category A,46009
2016-04,3,Category B,47000
2016-04,4,Category A,47300
2016-04,4,Category B,49602
2016-05,3,Category A,47889
2016-05,3,Category B,51010
2016-05,4,Category A,47020
2016-05,4,Category B,49156
2016-06,3,Category A,53694
2016-06,3,Category B,56000
2016-06,4,Category A,55200
2016-06,4,Category B,57010
2016-07,3,Category A,52301
2016-07,3,Category B,56089
2016-07,4,Category A,53000
2016-07,4,Category B,57508
2016-08,3,Category A,52503
2016-08,3,Category B,57903
2016-08,4,Category A,53334
2016-08,4,Category B,56500
2016-09,3,Category A,51506
2016-09,3,Category B,57002
2016-09,4,Category A,50000
2016-09,4,Category B,55501
2016-10,3,Category A,51507
2016-10,3,Category B,53001
2016-10,4,Category A,50991
2016-10,4,Category B,56410
2016-11,3,Category A,52668
2016-11,3,Category B,56206
2016-11,4,Category A,50951
2016-11,4,Category B,53001
2016-12,3,Category A,48000
2016-12,3,Category B,46229
2016-12,4,Category A,49751
2016-12,4,Category B,51109
2017-01,3,Category A,50101
2017-01,3,Category B,53106
2017-01,4,Category A,50889
2017-01,4,Category B,52807
2017-02,3,Category A,48401
2017-02,3,Category B,48209
2017-02,4,Category A,49430
2017-02,4,Category B,50621
2017-03,3,Category A,50789
2017-03,3,Category B,53300
2017-03,4,Category A,51765
2017-03,4,Category B,54000
2017-04,3,Category A,52000
2017-04,3,Category B,54405
2017-04,4,Category A,51600
2017-04,4,Category B,54406
2017-05,3,Category A,51106
2017-05,3,Category B,55414
2017-05,4,Category A,46489
2017-05,4,Category B,53001
2017-06,3,Category A,45201
2017-06,3,Category B,50110
2017-06,4,Category A,42801
2017-06,4,Category B,47501
2017-07,3,Category A,42801
2017-07,3,Category B,49802
2017-07,4,Category A,44002
2017-07,4,Category B,50001
2017-08,3,Category A,46778
2017-08,3,Category B,53711
2017-08,4,Category A,42900
2017-08,4,Category B,51000
2017-09,3,Category A,36001
2017-09,3,Category B,49000
2017-09,4,Category A,42902
2017-09,4,Category B,49189
2017-10,3,Category A,41761
2017-10,3,Category B,48109
2017-10,4,Category A,41617
2017-10,4,Category B,49996
2017-11,3,Category A,47112
2017-11,3,Category B,57414
2017-11,4,Category A,46791
2017-11,4,Category B,57390
2017-12,3,Category A,42339
2017-12,3,Category B,53711
2017-12,4,Category A,38200
2017-12,4,Category B,47002
2018-01,3,Category A,41400
2018-01,3,Category B,45289
2018-01,4,Category A,36890
2018-01,4,Category B,42661
2018-02,3,Category A,40000
2018-02,3,Category B,42322
2018-02,4,Category A,36810
2018-02,4,Category B,39000
2018-03,3,Category A,38830
2018-03,3,Category B,39001
2018-03,4,Category A,38000
2018-03,4,Category B,37010
2018-04,3,Category A,37000
2018-04,3,Category B,37605
2018-04,4,Category A,38510
2018-04,4,Category B,37330
2018-05,3,Category A,38941
2018-05,3,Category B,38501
2018-05,4,Category A,38001
2018-05,4,Category B,37989
2018-06,3,Category A,36426
2018-06,3,Category B,36000
2018-06,4,Category A,34110
2018-06,4,Category B,33900
2018-07,3,Category A,25000
2018-07,3,Category B,31000
2018-07,4,Category A,32699
2018-07,4,Category B,32551
2018-08,3,Category A,33798
2018-08,3,Category B,34381
2018-08,4,Category A,31997
2018-08,4,Category B,32429
2018-09,3,Category A,30209
2018-09,3,Category B,32001
2018-09,4,Category A,28000
2018-09,4,Category B,31307
2018-10,3,Category A,28457
2018-10,3,Category B,31301
2018-10,4,Category A,25556
2018-10,4,Category B,31302
2018-11,3,Category A,28199
2018-11,3,Category B,32302
2018-11,4,Category A,25000
2018-11,4,Category B,31101
2018-12,3,Category A,23568
2018-12,3,Category B,31001
2018-12,4,Category A,25501
2018-12,4,Category B,31001
2010-01,5,Category A,18502
2010-01,5,Category B,19190
2010-02,5,Category A,19989
2010-02,5,Category B,23180
2010-03,5,Category A,20802
2010-03,5,Category B,26389
2010-04,5,Category A,34001
2010-04,5,Category B,45501
2010-05,5,Category A,26102
2010-05,5,Category B,38000
2010-06,5,Category A,29501
2010-06,5,Category B,35909
2010-07,5,Category A,29501
2010-07,5,Category B,35909
2010-08,5,Category A,32104
2010-08,5,Category B,43334
2010-09,5,Category A,33089
2010-09,5,Category B,44129
2010-10,5,Category A,33132
2010-10,5,Category B,42801
2010-11,5,Category A,34001
2010-11,5,Category B,45501
2010-12,5,Category A,47604
2010-12,5,Category B,62502
2011-01,5,Category A,38889
2011-01,5,Category B,69000
2011-02,5,Category A,37124
2011-02,5,Category B,53400
2011-03,5,Category A,42600
2011-03,5,Category B,61894
2011-04,5,Category A,43212
2011-04,5,Category B,55001
2011-05,5,Category A,44790
2011-05,5,Category B,56011
2011-06,5,Category A,53390
2011-06,5,Category B,63000
2011-07,5,Category A,55989
2011-07,5,Category B,68501
2011-08,5,Category A,48801
2011-08,5,Category B,70890
2011-09,5,Category A,51000
2011-09,5,Category B,63002
2011-10,5,Category A,50289
2011-10,5,Category B,63600
2011-11,5,Category A,55997
2011-11,5,Category B,77000
2011-12,5,Category A,52392
2011-12,5,Category B,72350
2012-01,5,Category A,46889
2012-01,5,Category B,65801
2012-02,5,Category A,52809
2012-02,5,Category B,73890
2012-03,5,Category A,56551
2012-03,5,Category B,79304
2012-04,5,Category A,58501
2012-04,5,Category B,83700
2012-05,5,Category A,62600
2012-05,5,Category B,92050
2012-06,5,Category A,59003
2012-06,5,Category B,83000
2012-07,5,Category A,59421
2012-07,5,Category B,82289
2012-08,5,Category A,73501
2012-08,5,Category B,94502
2012-09,5,Category A,68000
2012-09,5,Category B,80191
2012-10,5,Category A,69000
2012-10,5,Category B,80001
2012-11,5,Category A,77201
2012-11,5,Category B,92400
2012-12,5,Category A,78523
2012-12,5,Category B,90200
2013-01,5,Category A,92100
2013-01,5,Category B,96210
2013-02,5,Category A,87109
2013-02,5,Category B,92901
2013-03,5,Category A,74689
2013-03,5,Category B,58090
2013-04,5,Category A,61029
2013-04,5,Category B,67010
2013-05,5,Category A,62999
2013-05,5,Category B,61700
2013-06,5,Category A,67301
2013-06,5,Category B,75000
2013-07,5,Category A,73100
2013-07,5,Category B,77110
2013-08,5,Category A,75556
2013-08,5,Category B,77600
2013-09,5,Category A,77304
2013-09,5,Category B,77100
2013-10,5,Category A,85000
2013-10,5,Category B,93500
2013-11,5,Category A,72609
2013-11,5,Category B,84578
2013-12,5,Category A,73160
2013-12,5,Category B,73010
2014-01,5,Category A,72369
2014-01,5,Category B,78700
2014-02,5,Category A,71564
2014-02,5,Category B,75300
2014-03,5,Category A,76999
2014-03,5,Category B,80710
2014-04,5,Category A,77400
2014-04,5,Category B,84504
2014-05,5,Category A,60002
2014-05,5,Category B,70002
2014-06,5,Category A,63190
2014-06,5,Category B,67304
2014-07,5,Category A,61990
2014-07,5,Category B,64889
2014-08,5,Category A,64600
2014-08,5,Category B,68689
2014-09,5,Category A,64841
2014-09,5,Category B,73010
2014-10,5,Category A,63880
2014-10,5,Category B,72180
2014-11,5,Category A,64900
2014-11,5,Category B,70890
2014-12,5,Category A,67089
2014-12,5,Category B,74389
2015-01,5,Category A,66010
2015-01,5,Category B,75289
2015-02,5,Category A,62002
2015-02,5,Category B,70890
2015-03,5,Category A,61410
2015-03,5,Category B,68668
2015-04,5,Category A,67749
2015-04,5,Category B,76612
2015-05,5,Category A,68589
2015-05,5,Category B,77600
2015-06,5,Category A,66000
2015-06,5,Category B,75000
2015-07,5,Category A,58700
2015-07,5,Category B,65501
2015-08,5,Category A,56209
2015-08,5,Category B,60789
2015-09,5,Category A,57089
2015-09,5,Category B,62101
2015-10,5,Category A,56001
2015-10,5,Category B,58190
2015-11,5,Category A,56001
2015-11,5,Category B,57501
2015-12,5,Category A,56989
2015-12,5,Category B,60001
2016-01,5,Category A,45002
2016-01,5,Category B,54920
2016-02,5,Category A,46651
2016-02,5,Category B,38610
2016-03,5,Category A,45000
2016-03,5,Category B,47604
2016-04,5,Category A,46009
2016-04,5,Category B,47000
2016-05,5,Category A,47889
2016-05,5,Category B,51010
2016-06,5,Category A,53694
2016-06,5,Category B,56000
2016-07,5,Category A,52301
2016-07,5,Category B,56089
2016-08,5,Category A,52503
2016-08,5,Category B,57903
2016-09,5,Category A,51506
2016-09,5,Category B,57002
2016-10,5,Category A,51507
2016-10,5,Category B,53001
2016-11,5,Category A,52668
2016-11,5,Category B,56206
2016-12,5,Category A,48000
2016-12,5,Category B,46229
2017-01,5,Category A,50101
2017-01,5,Category B,53106
2017-02,5,Category A,48401
2017-02,5,Category B,48209
2017-03,5,Category A,50789
2017-03,5,Category B,53300
2017-04,5,Category A,52000
2017-04,5,Category B,54405
2017-05,5,Category A,51106
2017-05,5,Category B,55414
2017-06,5,Category A,45201
2017-06,5,Category B,50110
2017-07,5,Category A,42801
2017-07,5,Category B,49802
2017-08,5,Category A,46778
2017-08,5,Category B,53711
2017-09,5,Category A,36001
2017-09,5,Category B,49000
2017-10,5,Category A,41761
2017-10,5,Category B,48109
2017-11,5,Category A,47112
2017-11,5,Category B,57414
2017-12,5,Category A,42339
2017-12,5,Category B,53711
2018-01,5,Category A,41400
2018-01,5,Category B,45289
2018-02,5,Category A,40000
2018-02,5,Category B,42322
2018-03,5,Category A,38830
2018-03,5,Category B,39001
2018-04,5,Category A,37000
2018-04,5,Category B,37605
2018-05,5,Category A,38941
2018-05,5,Category B,38501
2018-06,5,Category A,36426
2018-06,5,Category B,36000
2018-07,5,Category A,25000
2018-07,5,Category B,31000
2018-08,5,Category A,33798
2018-08,5,Category B,34381
2018-09,5,Category A,30209
2018-09,5,Category B,32001
2018-10,5,Category A,28457
2018-10,5,Category B,31301
2018-11,5,Category A,28199
2018-11,5,Category B,32302
2018-12,5,Category A,23568
2018-12,5,Category B,31001
